WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
1 ORCHARD PARK INDUSTRIAL AREA,NEW HAVEN,['MADISON'],25,Ground water,Active,CT0769103,True,True,"[[{'type': 'Point', 'coordinates': [-95.9800086, 36.10524]}]]","[['36.10519', '36.10529', '-95.9800586', '-95.9799586']]"
1 SALMON BROOK STREET - GRANBY,HARTFORD,['GRANBY'],80,Ground water,Active,CT0565073,True,True,"[[{'type': 'LineString', 'coordinates': [[-4.1758404, 50.3738369], [-4.1755751, 50.3733661], [-4.175333, 50.372895]]}]]","[['50.372895', '50.3738369', '-4.1758404', '-4.175333']]"
1114 FEDERAL ROAD,FAIRFIELD,['BROOKFIELD'],35,Ground water,Active,CT0189863,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-1.1222249, 53.0022197], [-1.1216952, 53.001892], [-1.121207, 53.0021809], [-1.121545, 53.0023714], [-1.1222249, 53.0022197]]]}]]","[['53.001892', '53.0023714', '-1.1222249', '-1.121207']]"
125 COMMERCE DRIVE,FAIRFIELD,['BROOKFIELD'],37,Ground water,Active,CT0189923,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-1.1222249, 53.0022197], [-1.1216952, 53.001892], [-1.121207, 53.0021809], [-1.121545, 53.0023714], [-1.1222249, 53.0022197]]]}]]","[['53.001892', '53.0023714', '-1.1222249', '-1.121207']]"
125-131 BRADLEY ROAD - WOODBRIDGE,NEW HAVEN,['WOODBRIDGE'],385,Ground water,Active,CT1670173,True,True,"[[{'type': 'Polygon', 'coordinates': [[[149.1038449, -35.3144559], [149.1042409, -35.3154452], [149.1047801, -35.3153002], [149.1046711, -35.315023], [149.1043895, -35.314313], [149.1043249, -35.3143299], [149.1038449, -35.3144559]]]}]]","[['-35.3154452', '-35.314313', '149.1038449', '149.1047801']]"
"144 OXFORD ROAD, LLC",NEW HAVEN,['OXFORD'],25,Ground water,Active,CT1085013,True,True,"[[{'type': 'Polygon', 'coordinates': [[[114.1989548, 22.2853957], [114.1990295, 22.2852775], [114.199188, 22.2847813], [114.1992375, 22.2847187], [114.1993066, 22.2846986], [114.1993928, 22.284739], [114.1994809, 22.2850443], [114.199446, 22.2850716], [114.1994479, 22.2851492], [114.19934, 22.2854075], [114.1989548, 22.2853957]]]}]]","[['22.2846986', '22.2854075', '114.1989548', '114.1994809']]"
1495 ROUTE 85,NEW LONDON,['MONTVILLE'],60,Ground water,Active,CT0869163,True,True,"[[{'type': 'LineString', 'coordinates': [[-81.826953, 30.309067], [-81.826911, 30.309214], [-81.826866, 30.309383], [-81.826867, 30.309509], [-81.826884, 30.309567], [-81.826913, 30.309615], [-81.826998, 30.309846], [-81.827018, 30.309929], [-81.827051, 30.31017]]}]]","[['30.309067', '30.31017', '-81.827051', '-81.826866']]"
15 ORCHARD PARK INDUSTRIAL AREA,NEW HAVEN,['MADISON'],50,Ground water,Active,CT0769113,True,True,"[[{'type': 'Point', 'coordinates': [-95.9800086, 36.10524]}]]","[['36.10519', '36.10529', '-95.9800586', '-95.9799586']]"
185 TORRINGTON ROAD - LANSON DRIVE,LITCHFIELD,['WINCHESTER'],25,Ground water,Active,CT1620223,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-2.1037316, 49.1888316], [-2.1036323, 49.1885932], [-2.103289, 49.1886423], [-2.1033293, 49.1888421], [-2.1035224, 49.1888228], [-2.1035332, 49.1888585], [-2.103696, 49.1888369], [-2.1037316, 49.1888316]]]}]]","[['49.1885932', '49.1888585', '-2.1037316', '-2.103289']]"
201 WEST HIGH STREET,MIDDLESEX,['EAST HAMPTON'],64,Ground water,Active,CT0429213,True,True,"[[{'type': 'LineString', 'coordinates': [[-82.313081, 28.729992], [-82.3147285, 28.7299753]]}]]","[['28.7299753', '28.729992', '-82.3147285', '-82.313081']]"
227 HORSE POND ROAD - MADISON,NEW HAVEN,['MADISON'],55,Ground water,Active,CT0769203,True,True,"[[{'type': 'Point', 'coordinates': [-95.9800086, 36.10524]}]]","[['36.10519', '36.10529', '-95.9800586', '-95.9799586']]"
234 AMITY ROAD,NEW HAVEN,['BETHANY'],55,Ground water,Active,CT0081114,True,True,"[[{'type': 'LineString', 'coordinates': [[-78.9124765, 38.4100623], [-78.9127018, 38.4098773], [-78.9129121, 38.4096735], [-78.9135387, 38.4091755], [-78.9138391, 38.408956], [-78.9139936, 38.4088016], [-78.9141308, 38.408513]]}]]","[['38.408513', '38.4100623', '-78.9141308', '-78.9124765']]"
"283 LITCHFIELD RD, LLC",LITCHFIELD,['HARWINTON'],74,Ground water,Active,CT0660414,True,True,"[[{'type': 'LineString', 'coordinates': [[-121.9834985, 38.383251], [-121.984494, 38.3831897]]}]]","[['38.3831897', '38.383251', '-121.984494', '-121.9834985']]"
3 SMITH STREET,MIDDLESEX,['EAST HAMPTON'],48,Ground water,Active,CT0429143,True,True,"[[{'type': 'LineString', 'coordinates': [[-82.313081, 28.729992], [-82.3147285, 28.7299753]]}]]","[['28.7299753', '28.729992', '-82.3147285', '-82.313081']]"
